account_open_date,age,location,occupation,income_level,fico_score,delinquency_status,charge_off_status,number_of_credit_applications,debt_to_income_ratio,payment_methods_high_risk,max_balance,avg_balance_last_12months,number_of_delinquent_accounts,number_of_defaulted_accounts,earliest_credit_account,recent_trade_activity,new_accounts_opened_last_12months,multiple_applications_short_time_period,unusual_submission_pattern,applications_submitted_during_odd_hours,watchlist_blacklist_flag,public_records_flag
11/9/2023,56,Los Angeles,Teacher,40099,424,108,TRUE,10,3.139571892877356,FALSE,18209.38313592161,4324.930673,4,2,9/11/2018,3/7/2024,3,TRUE,TRUE,FALSE,FALSE,TRUE
9/11/2022,69,New York,Engineer,2050,483,0,FALSE,1,1.017488807907175,FALSE,33673.69650382912,21726.59391588883,3,2,3/8/2023,1/28/2024,3,FALSE,TRUE,FALSE,FALSE,FALSE
7/12/2020,46,Miami,Engineer,71936,566,0,FALSE,1,1.5086258177093483,FALSE,101918.17420194212,63930.10225451282,2,0,4/26/2024,10/3/2024,2,FALSE,FALSE,FALSE,FALSE,FALSE
8/13/2024,32,Houston,Banker,15833,,97,TRUE,5,2.9951498518514263,FALSE,9055.101658652206,3033.4037415672315,3,1,9/14/2023,10/14/2024,4,FALSE,TRUE,TRUE,FALSE,FALSE
7/27/2024,60,Houston,Lawyer,8574,787,0,FALSE,1,1.1823796693164985,FALSE,91682.85204,77457.38701642072,,0,11/8/2022,9/2/2024,0,TRUE,FALSE,TRUE,FALSE,FALSE
3/6/2022,25,Chicago,Teacher,59349,688,0,FALSE,1,1.1211958904555102,TRUE,91705.65064837413,78392.24518677974,0,0,11/18/2018,3/19/2024,0,FALSE,FALSE,TRUE,FALSE,FALSE
10/26/2023,38,Los Angeles,Banker,6925,740,0,FALSE,1,1.6596310732496213,FALSE,29940.714069378522,24486.093498814196,0,0,3/1/2022,1/4/2024,0,FALSE,FALSE,TRUE,FALSE,FALSE
10/29/2020,56,Dallas,Accountant,25139,563,0,FALSE,1,0.8765796560005229,FALSE,56872.14948368606,,1,1,9/11/2022,11/21/2023,2,FALSE,,FALSE,FALSE,FALSE
9/10/2022,36,Los Angeles,Other,6197,758,22,FALSE,1,1.008079800940948,FALSE,60627.640485901225,50566.24896907005,,0,7/25/2022,10/2/2024,3,FALSE,FALSE,TRUE,FALSE,TRUE
3/1/2021,40,Seattle,Banker,4262,518,100,TRUE,3,1.941141723751627,FALSE,28726.579655516136,6100.624274746838,4,2,6/15/2019,4/8/2024,3,TRUE,FALSE,FALSE,FALSE,TRUE
4/9/2020,28,Atlanta,Retail Worker,10495,692,0,FALSE,1,1.3881667900882932,FALSE,101381.53464146062,76615.51935132778,0,0,7/8/2019,3/19/2024,4,FALSE,FALSE,FALSE,TRUE,TRUE
11/20/2019,28,New York,Consultant,15932,791,0,FALSE,1,2.0919430566698822,FALSE,47774.68272615085,39534.305118413235,0,0,12/29/2015,8/31/2024,0,TRUE,FALSE,FALSE,FALSE,FALSE
9/28/2024,41,New York,Lawyer,46654,458,0,FALSE,1,0.9022116018318465,FALSE,67595.24603017399,64187.48323,4,1,10/10/2020,6/12/2024,3,TRUE,FALSE,FALSE,FALSE,FALSE
4/21/2020,70,Los Angeles,Other,5870,574,1,TRUE,1,1.1677102202202745,FALSE,85745.75535825967,56829.25293397416,2,1,1/9/2017,12/3/2023,1,FALSE,FALSE,TRUE,FALSE,TRUE
3/19/2023,53,Houston,Accountant,27455,470,105,FALSE,8,0.8228179946998444,FALSE,1719.8478539487814,807.6961255272341,4,2,2/18/2022,9/20/2024,4,TRUE,TRUE,FALSE,FALSE,FALSE
1/24/2020,57,Houston,Banker,5682,687,0,FALSE,1,1.1324628889335884,FALSE,12080.680400228659,8971.746586479798,0,0,8/31/2019,3/31/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
